parameters,mean,mcse,std,5%,50%,95%,ess,n_eff/s,r_hat
lp__,-93.6558,0.0124155,1.31483,-96.2363,-93.317,-92.23,11215.3,6490.33,1.00005
accept_stat__,0.921484,0.0153163,0.119428,0.670718,0.970195,1.0,60.8007,35.1856,1.01873
stepsize__,0.175237,0.0168451,0.0238262,0.141187,0.194064,0.20075,2.0006,1.15775,3.32466e12
treedepth__,3.43103,0.0886676,0.990892,2.0,4.0,5.0,124.889,72.2735,1.01205
n_leapfrog__,16.2668,1.28272,9.49593,3.0,15.0,31.0,54.804,31.7153,1.02091
divergent__,0.0,NaN,0.0,0.0,0.0,0.0,NaN,NaN,NaN
energy__,95.1611,0.0164032,1.79251,92.9053,94.8299,98.5659,11941.7,6910.69,1.00002
a,-120.795,0.650487,74.7488,-243.681,-120.64,2.77465,13204.8,7641.65,1.00036
b,21.9299,0.0144892,1.66325,19.2056,21.9259,24.6578,13177.4,7625.79,1.00038
sigma,85.2103,0.128378,15.5698,64.071,83.106,113.765,14709.0,8512.13,1.00008
